cheese,url,milk,country,region,family,type,texture,rind,color,flavor,aroma,vegetarian,vegan,producers
Aarewasser,https://www.cheese.com/aarewasser/,cow,Switzerland,Wisconsin,Cheddar,semi-soft,buttery,washed,yellow,sweet,buttery,False,False,Jumi
Abbaye de Belloc,https://www.cheese.com/abbaye-de-belloc/,sheep,France,Pays Basque,Cheddar,"semi-hard, artisan","creamy, dense, firm",natural,yellow,burnt caramel,lanoline,True,False,Sartori
Abbaye de Belval,https://www.cheese.com/abbaye-de-belval/,cow,France,Wisconsin,Cheddar,semi-hard,elastic,washed,ivory,creamy,aromatic,False,False,Sartori
Abbaye de Citeaux,https://www.cheese.com/abbaye-de-citeaux/,cow,France,Burgundy,Blue,"semi-soft, artisan, brined","creamy, dense, smooth",washed,white,"acidic, milky, smooth","barnyardy, earthy",False,False,Sartori
Abbaye de Tamié,https://www.cheese.com/tamie/,cow,France,Savoie,Brie,"soft, artisan","creamy, open, smooth",washed,white,"fruity, nutty","perfumed, pungent",False,False,Sartori
Abbaye de Timadeuc,https://www.cheese.com/abbaye-de-timadeuc/,cow,France,province of Brittany,Cheddar,semi-hard,soft,washed,pale yellow,"salty, smooth",nutty,False,False,Abbaye Cistercienne NOTRE-DAME DE TIMADEUC
Abbaye du Mont des Cats,https://www.cheese.com/abbaye-du-mont-des-cats/,cow,France,Nord-Pas-de-Calais,Blue,"semi-soft, artisan, brined","smooth, supple",washed,pale yellow,"milky, salty",floral,False,False,Abbaye du Mont des Cats
Abbot’s Gold,https://www.cheese.com/abbots-gold/,cow,"England, Great Britain, United Kingdom",North Yorkshire,Cheddar,semi-hard,"creamy, crumbly, dense, semi firm",natural,pale yellow,"mild, sweet, tangy",aromatic,True,False,Wensleydale Creamery
Abertam,https://www.cheese.com/abertam/,sheep,Czech Republic,Karlovy Vary,Cheddar,"hard, artisan",firm,natural,pale yellow,"acidic, strong, tangy",rich,False,False,Sartori
Abondance,https://www.cheese.com/abondance/,cow,France,Wisconsin,Cheddar,"semi-hard, artisan",creamy,natural,pale yellow,nutty,"buttery, fruity",False,False,Sartori
Acapella,https://www.cheese.com/acapella/,goat,United States,California,Brie,"soft, soft-ripened",creamy,natural,white,buttery,"fresh, herbal",False,False,Sartori
Accasciato,https://www.cheese.com/accasciato/,"buffalo, cow",Italy,Campania,Cheddar,semi-hard,firm,natural,pale yellow,sweet,"aromatic, fresh",False,False,Casa Madaio
Ackawi,https://www.cheese.com/ackawi/,"cow, goat, sheep","Cyprus, Egypt, Israel, Jordan, Lebanon, Middle East, Syria",+,Feta,"soft, brined","elastic, smooth, springy",natural,white,"mild, milky, salty","mild, milky",False,False,Sartori
Acorn,https://www.cheese.com/acorn/,sheep,United Kingdom,Bethania,Cheddar,"hard, artisan","crumbly, firm",natural,white,"burnt caramel, citrusy, herbaceous",fruity,True,False,Sartori
Adelost,https://www.cheese.com/adelost/,cow,Sweden,Wisconsin,Blue,"semi-soft, blue-veined",creamy,natural,blue,"salty, sharp, tangy",strong,No,No,Sartori
ADL Brick Cheese,https://www.cheese.com/adl-brick-cheese/,cow,Canada,Prince Edward Island,Cheddar,semi-soft,"elastic, firm, open, soft",rindless,ivory,"buttery, mild, milky, subtle","buttery, sweet",No,No,ADL - Amalgamated Dairies Limited
ADL Mild Cheddar,https://www.cheese.com/adl-mild-cheddar/,cow,Canada,Prince Edward Island,Cheddar,semi-hard,"firm, springy",rindless,yellow,"acidic, buttery, milky, subtle",rich,No,No,ADL - Amalgamated Dairies Limited
Affidelice au Chablis,https://www.cheese.com/affidelice-au-chablis/,cow,France,Burgundy,Brie,soft,"creamy, smooth",washed,orange,"fruity, mild, tangy","perfumed, strong",False,False,Fromagerie Berthaut
Affineur Walo Rotwein Sennechäs,https://www.cheese.com/affineur-walo-rotwein-sennechas/,cow,Switzerland,Wisconsin,Swiss Cheese,"hard, artisan",smooth,washed,cream,"creamy, pronounced, spicy","rich, strong",False,False,Walo von Mühlenen AG
Afuega'l Pitu,https://www.cheese.com/afuegal-pitu/,cow,Spain,Asturias,Brie,"soft, artisan",smooth,cloth wrapped,white,"spicy, strong",rich,False,False,Sartori
Aged British Cheddar,https://www.cheese.com/aged-british-cheddar/,cow,United States,NY,Cheddar,"hard, artisan","crumbly, crystalline, flaky",natural,pale yellow,"sharp, tangy","nutty, sweet",No,No,Muranda Cheese Company
Aged Cashew & Blue Green Algae Cheese,https://www.cheese.com/aged-cashew-blue-green-algae-cheese/,Unknown,United States,Brooklyn NY,Blue,"firm, artisan","firm, spreadable",natural,blue,"creamy, mellow, oceanic, tangy",rich,True,False,Dr. Cow Tree Nut Cheese
Aged Cashew & Brazil Nut Cheese,https://www.cheese.com/aged-cashew-brazil-nut-cheese/,Unknown,United States,Brooklyn NY,Blue,"firm, artisan","firm, spreadable",natural,brown,"creamy, nutty, sweet","nutty, rich",True,False,Dr. Cow Tree Nut Cheese
Aged Cashew & Dulse Cheese,https://www.cheese.com/aged-cashew-dulse-cheese/,Unknown,United States,Brooklyn NY,Blue,"firm, artisan","firm, spreadable",natural,brown,"creamy, oceanic",rich,True,False,Dr. Cow Tree Nut Cheese
Aged Cashew & Hemp Seed Cheese,https://www.cheese.com/aged-cashew-hemp-seed-cheese/,Unknown,United States,Brooklyn NY,Blue,"firm, artisan","firm, spreadable",natural,brown,"creamy, mild, nutty, spicy","nutty, rich",True,False,Dr. Cow Tree Nut Cheese
Aged Cashew Nut & Kale Cheese,https://www.cheese.com/aged-cashew-nut-kale-cheese/,Unknown,United States,Brooklyn NY,Blue,"firm, artisan","firm, spreadable",natural,green,"creamy, oceanic, tangy",rich,True,False,Dr. Cow Tree Nut Cheese
Aged Cashew Nut Cheese,https://www.cheese.com/aged-cashew-nut-cheese/,Unknown,United States,Brooklyn NY,Blue,"firm, artisan","firm, spreadable",natural,golden yellow,"creamy, nutty, subtle","clean, fresh, nutty",True,False,Dr. Cow Tree Nut Cheese
Aged Cheddar,https://www.cheese.com/aged-cheddar/,cow,United States,Wisconsin,Gouda,hard,"buttery, creamy, crumbly",rindless,golden yellow,"creamy, earthy, nutty","earthy, nutty",True,False,"Maple Grove Cheese, INC."
Aged Chelsea,https://www.cheese.com/aged-chelsea/,goat,United States,"Ann Arbor, Michigan",Brie,soft,"creamy, spreadable",mold ripened,ivory,"acidic, buttery, sweet",goaty,False,False,Zingermans.com LLC
Aged Gouda,https://www.cheese.com/aged-gouda/,"cow, goat, sheep",Netherlands,Wisconsin,Gouda,hard,"crumbly, crystalline, dense",waxed,yellow,creamy,rich,No,No,Sartori
Aggiano,https://www.cheese.com/aggiano/,cow,United States,Utah,Cheddar,"hard, artisan","creamy, dry",natural,cream,"butterscotch, tangy",fruity,True,False,Beehive Cheese Company
Ailsa Craig,https://www.cheese.com/ailsa-craig/,goat,"Scotland, United Kingdom",Stewarton,Pecorino,"semi-soft, artisan","creamy, fluffy",rindless,white,creamy,goaty,True,False,Dunlop Dairy
Airedale,https://www.cheese.com/airedale/,cow,New Zealand,Airedale farming district,Pecorino,"semi-soft, artisan",smooth,waxed,pale yellow,"full-flavored, milky, salty, tangy","grassy, strong",True,False,Whitestone Cheese
Aisy Cendre,https://www.cheese.com/aisy-cendre/,cow,France,Burgundy,Blue,"semi-soft, smear-ripened","creamy, smooth",washed,white,"full-flavored, herbaceous, salty, smokey","earthy, nutty, smokey",False,False,Sartori
Alex James Co. No 1 Cheddar,https://www.cheese.com/alex-james-co-no-1-cheddar/,cow,United Kingdom,Wisconsin,Gouda,hard,"creamy, crumbly",natural,yellow,sweet,rich,No,No,Sartori
Alex James Co. No 2 Blue Monday,https://www.cheese.com/alex-james-co-no-2-blue-monday/,cow,United Kingdom,Wisconsin,Cheddar,semi-soft,"creamy, semi firm",natural,blue,creamy,"spicy, sweet",No,No,Sartori
Alex James Co. No 3 Valley Brie,https://www.cheese.com/alex-james-co-no-3-valley-brie/,cow,United Kingdom,Wisconsin,Cottage,"soft, semi-soft","buttery, creamy, semi firm, smooth, soft",natural,pale white,creamy,rich,No,No,Sartori
